web_name,gw,SiB,player_id
Edmundson,1,0.0,269
Bazunu,1,0.0,454
Amo-Ameyaw,1,0.0,451
Choudhury,1,0.0,287
Cannon,1,0.0,286
Walton,1,0.0,283
Gilchrist,1,0.0,170
Lis,1,0.0,465
Larios,1,0.0,464
Edwards,1,0.0,460
Edozie,1,0.0,459
Charles,1,0.0,458
Holgate,1,0.0,225
Austin,1,0.0,479
A.Phillips,1,0.0,478
Taylor,1,0.0,281
McCarthy,1,0.0,469
Mara,1,0.0,468
Lumley,1,0.0,466
Slicker,1,0.0,280
Gallagher,1,0.0,169
Harris,1,0.0,702
Benda,1,0.0,242
Pickford,1,0.0,235
Maupay,1,0.0,229
M.Salah,2,3.0,328
Haaland,2,6.0,351
Semenyo,2,5.0,78
Isak,2,5.0,401
Watkins,2,2.0,58
Raúl,2,0.0,252
N.Jackson,2,1.0,180
Wissa,2,0.0,110
Madueke,2,5.0,177
Garnacho,2,1.0,372
Palmer,2,2.0,182
Evanilson,2,2.0,617
Mbeumo,2,1.0,99
Solanke,2,0.0,82
Bowen,2,1.0,514
Luis Díaz,2,3.0,327
Johnson,2,1.0,275
Strand Larsen,2,2.0,566
Vardy,2,0.0,306
Cunha,2,3.0,541
Souček,2,3.0,530
O.Dango,2,1.0,74
Kudus,2,2.0,525
Wood,2,3.0,447
Mateta,2,1.0,207
Mitoma,2,0.0,136
Havertz,2,1.0,4
Trossard,2,1.0,23
Delap,2,0.0,268
Calvert-Lewin,2,1.0,220
I.Sarr,2,1.0,585
Diogo J.,2,4.0,317
Saka,2,1.0,17
Barnes,2,1.0,392
Schade,2,0.0,106
Eze,2,2.0,199
Iwobi,2,2.0,247
Martinelli,2,0.0,9
Gordon,2,1.0,398
Muniz,2,7.0,251
Son,2,2.0,503
Kluivert,2,1.0,71
Rogers,2,1.0,54
Kulusevski,2,0.0,492
Georginio,2,0.0,618
Gakpo,2,0.0,321
João Pedro,2,2.0,129
Welbeck,2,3.0,148
Szoboszlai,2,1.0,336
Joelinton,2,1.0,403
Savinho,2,0.0,571
Onuachu,2,0.0,470
B.Fernandes,2,1.0,366
Neto,2,0.0,73
Gibbs-White,2,3.0,433
Beto,2,0.0,218
Gvardiol,2,0.0,350
Adama,2,2.0,239
Nketiah,2,0.0,11
Muñoz,2,0.0,211
Merino,2,,633
Amad,2,2.0,364
Smith Rowe,2,1.0,19
Aït-Nouri,2,1.0,533
Elanga,2,1.0,432
Archer,2,0.0,27
Bernardo,2,1.0,342
Ndiaye,2,1.0,232
Darwin,2,0.0,316
A.Doucoure,2,1.0,217
Enzo,2,0.0,168
Foden,2,0.0,348
Zirkzee,2,0.0,389
Maddison,2,2.0,494
Duran,2,1.0,38
Hudson-Odoi,2,1.0,434
Minteh,2,2.0,135
J.Murphy,2,0.0,402
Milenković,2,3.0,573
