web_name,gw,tpa,player_id
Joelinton,2,1.0,403
Calvert-Lewin,2,1.0,220
Gibbs-White,2,6.0,433
Aït-Nouri,2,2.0,533
J.Murphy,2,0.0,402
Georginio,2,0.0,618
Foden,2,0.0,348
Ndiaye,2,5.0,232
Merino,2,0.0,633
Maddison,2,4.0,494
Bruno G.,2,1.0,394
Rice,2,2.0,16
B.Fernandes,2,4.0,366
Hutchinson,2,0.0,274
Enzo,2,2.0,168
Grealish,2,3.0,349
Damsgaard,2,0.0,89
Hudson-Odoi,2,4.0,434
Bailey,2,1.0,28
Cucurella,2,0.0,163
Robinson,2,1.0,255
Dalot,2,0.0,369
Lewis-Potter,2,0.0,98
Ramsey,2,3.0,53
Rashford,2,2.0,385
De Bruyne,2,3.0,345
J.Timber,2,1.0,6
Adingra,2,2.0,113
Beto,2,0.0,218
Darwin,2,1.0,316
Collins,2,2.0,88
Onuachu,2,0.0,470
Mavididi,2,0.0,298
A.Doucoure,2,2.0,217
Mac Allister,2,4.0,329
Harrison,2,2.0,224
Anderson,2,3.0,423
Nketiah,2,0.0,11
Kerkez,2,1.0,70
Milenković,2,3.0,573
Ndidi,2,1.0,300
Walker-Peters,2,3.0,476
Tarkowski,2,5.0,236
Højlund,2,0.0,375
Gündogan,2,2.0,625
L.Paquetá,2,2.0,527
Muniz,2,8.0,251
Nkunku,2,0.0,181
Zirkzee,2,2.0,389
Smith Rowe,2,4.0,19
Matheus N.,2,0.0,356
McGinn,2,0.0,48
Jones,2,0.0,324
Robertson,2,3.0,335
Marmoush,2,0.0,755
Armstrong,2,3.0,603
Kamaldeen,2,0.0,462
Udogie,2,2.0,505
Nørgaard,2,1.0,101
Archer,2,0.0,27
O'Shea,2,0.0,630
G.Jesus,2,0.0,2
Tavernier,2,1.0,83
Willock,2,3.0,420
Burn,2,5.0,395
J.Ayew,2,0.0,192
Duran,2,2.0,38
Hall,2,1.0,399
Christie,2,1.0,63
Jota Silva,2,0.0,596
M.Fernandes,2,2.0,623
Virgil,2,1.0,339
Aribo,2,3.0,452
Wilson,2,3.0,259
Alexander-Arnold,2,4.0,311
Ayari,2,1.0,600
Van den Berg,2,0.0,338
Lewis,2,10.0,355
Lindstrøm,2,1.0,577
Mitchell,2,2.0,210
Maatsen,2,0.0,45
Wan-Bissaka,2,0.0,388
Gusto,2,1.0,171
Gabriel,2,0.0,3
Tielemans,2,0.0,57
Andreas,2,1.0,240
J.Gomes,2,0.0,553
Bellegarde,2,1.0,535
Yates,2,0.0,449
Casemiro,2,3.0,368
Nwaneri,2,0.0,12
Cash,2,2.0,32
Tonali,2,0.0,417
Harwood-Bellis,2,0.0,461
Dibling,2,0.0,608
Davis,2,2.0,267
Buonanotte,2,1.0,117
O'Riley,2,0.0,629
Summerville,2,0.0,587
Justin,2,0.0,295
Ajer,2,1.0,86
Maguire,2,1.0,377
Lacroix,2,0.0,650
Colwill,2,0.0,162
Antonio,2,3.0,512
N.Williams,2,2.0,437
Sterling,2,0.0,186
Sessegnon,2,0.0,579
Nelson,2,0.0,10
Szmodics,2,0.0,611
Mainoo,2,1.0,378
Bradley,2,1.0,313
Werner,2,0.0,509
Tete,2,2.0,257
Jaden,2,0.0,569
Livramento,2,0.0,409
Gruda,2,0.0,595
Castagne,2,0.0,244
Füllkrug,2,3.0,589
Janelt,2,1.0,94
Brooks,2,0.0,62
João Félix,2,2.0,621
Guéhi,2,0.0,200
Enciso,2,1.0,121
J.Clarke,2,0.0,631
Van Hecke,2,2.0,144
De Ligt,2,0.0,593
Pedro Porro,2,0.0,495
Kilman,2,1.0,524
Schär,2,0.0,415
Odobert,2,7.0,612
Estupiñan,2,0.0,122
Huijsen,2,0.0,580
Tel,2,0.0,768
Sugawara,2,0.0,474
Calafiori,2,0.0,578
Ings,2,0.0,523
Digne,2,0.0,36
