web_name,gw,SoT,player_id
Summerville,2,0.0,587
J.Timber,2,0.0,6
Cash,2,0.0,32
Tarkowski,2,0.0,236
Daka,2,0.0,289
Wieffer,2,0.0,149
Greaves,2,0.0,270
Gusto,2,0.0,171
Janelt,2,0.0,94
Cook,2,0.0,64
Devenny,2,,645
Hirst,2,0.0,272
Antonio,2,0.0,512
Winks,2,0.0,309
McAtee,2,0.0,357
Digne,2,0.0,36
Konaté,2,1.0,326
Konsa,2,0.0,44
De Cordova-Reid,2,1.0,290
Caicedo,2,0.0,157
S.Bueno,2,0.0,564
Johnson,2,0.0,275
Colwill,2,0.0,162
Downes,2,0.0,518
Castagne,2,0.0,244
R.Gomes,2,0.0,563
O'Brien,2,0.0,582
Doherty,2,0.0,543
James,2,0.0,172
Keane,2,0.0,228
Young,2,0.0,656
Branthwaite,2,0.0,219
Hee Chan,2,0.0,550
Ugarte,2,,652
Ferguson,2,0.0,123
Antony,2,0.0,365
Matheus N.,2,0.0,356
Bradley,2,0.0,313
McAteer,2,0.0,299
Mount,2,1.0,382
Mazraoui,2,0.0,594
Chaplin,2,0.0,265
Willock,2,0.0,420
Dunk,2,0.0,120
Werner,2,0.0,509
Spence,2,0.0,504
Ajer,2,0.0,86
Garner,2,0.0,223
Pau,2,0.0,52
M.França,2,0.0,208
Odobert,2,0.0,612
J.Clarke,2,,631
Saliba,2,0.0,18
Adams,2,0.0,60
Mitchell,2,0.0,210
Schlupp,2,0.0,214
Toti,2,0.0,567
Irving,2,0.0,576
Robinson,2,0.0,255
Lukić,2,0.0,249
O'Shea,2,,630
Huijsen,2,0.0,580
O’Reilly,2,0.0,607
Chiesa,2,,636
Gruda,2,0.0,595
Tosin,2,0.0,187
