web_name,gw,npg,player_id
Silcott-Duberry,1,,728
Soler,1,,713
Gómez,1,,714
Godfrey,1,,715
Kinsky,1,,716
Khusanov,1,,732
Vitor Reis,1,,733
Grønbæk,1,,734
Arteta,1,,735
Guardiola,1,,736
Hennessey,1,,721
Adu-Adjei,1,,722
Sadi,1,,723
Wilson-Esbrand,1,,675
Marsh,1,,676
Scarles,1,,677
Bates,1,,678
Broggio,1,,679
Kinsey,1,,680
Ajayi,1,,729
A. Garcia,1,,731
Olusesi,1,,683
Hardy,1,,684
Slater,1,,685
Mayers,1,,686
Winterburn,1,,687
Nyoni,1,,688
Fitzgerald,1,,673
Maghoma,1,,674
Mané,1,,784
Djiga,1,,769
Amougou,1,,771
Willian,1,,772
Heath,1,,773
Anselmino,1,,774
Coby Ebere,1,,775
Palmer,1,,182
Monga,1,,792
Fredricson,1,,777
Moorhouse,1,,778
Koné,1,,779
Morgan,1,,780
Mheuka,1,,781
Samuels-Smith,1,,782
Graczyk,1,,783
Tom Taylor,1,,800
Echeverri,1,,785
Benjamin Fredrick,1,,786
Genesis Antwi,1,,787
Dermot Mee,1,,788
Neave,1,,789
Gower,1,,790
Charlie Tasker,1,,791
Hause,1,0.0,40
Jack Henry-Francis,1,,793
Freddie Simmonds,1,,794
Harry Howell,1,,795
Olabade Aluko,1,,796
Jake Evans,1,,797
Jay Robinson,1,,798
Boniface,1,,799
McKenna,1,,727
Slot,1,,744
Zinchenko,1,0.0,25
Alex Moreno,1,0.0,26
Barrenechea,1,0.0,30
Buendia,1,0.0,31
Tierney,1,0.0,21
Tomiyasu,1,0.0,22
Pereira,1,,751
Frank,1,,752
Emery,1,,737
Iraola,1,,738
Isak,2,0.0,401
M.Salah,2,1.0,328
Haaland,2,2.0,351
Wood,2,0.0,447
Wissa,2,0.0,110
Cunha,2,1.0,541
Mbeumo,2,0.0,99
Strand Larsen,2,1.0,566
Watkins,2,0.0,58
Mateta,2,0.0,207
Luis Díaz,2,1.0,327
Johnson,2,0.0,275
Palmer,2,1.0,182
N.Jackson,2,1.0,180
Delap,2,0.0,268
Mitoma,2,0.0,136
Maddison,2,0.0,494
Barnes,2,0.0,392
Gakpo,2,0.0,321
Havertz,2,0.0,4
Iwobi,2,1.0,247
Evanilson,2,0.0,617
Semenyo,2,0.0,78
Welbeck,2,1.0,148
Souček,2,1.0,530
Bowen,2,1.0,514
Schade,2,0.0,106
Solanke,2,0.0,82
Rogers,2,0.0,54
Muniz,2,0.0,251
Trossard,2,1.0,23
J.Murphy,2,0.0,402
O.Dango,2,0.0,74
Kulusevski,2,0.0,492
I.Sarr,2,0.0,585
Duran,2,0.0,38
Foden,2,0.0,348
Martinelli,2,0.0,9
Madueke,2,3.0,177
Raúl,2,0.0,252
Smith Rowe,2,1.0,19
Diogo J.,2,0.0,317
Vardy,2,0.0,306
Marmoush,2,,755
Amad,2,1.0,364
Merino,2,,633
Kluivert,2,0.0,71
Beto,2,0.0,218
Son,2,2.0,503
Kovačić,2,0.0,354
Elanga,2,0.0,432
Enzo,2,0.0,168
B.Fernandes,2,0.0,366
Hudson-Odoi,2,0.0,434
Rashford,2,0.0,385
Nørgaard,2,0.0,101
João Pedro,2,1.0,129
Minteh,2,0.0,135
Georginio,2,0.0,618
Darwin,2,0.0,316
Gvardiol,2,0.0,350
Szoboszlai,2,0.0,336
Mac Allister,2,0.0,329
Garnacho,2,0.0,372
Gibbs-White,2,1.0,433
Gordon,2,1.0,398
Wilson,2,0.0,259
Ndiaye,2,0.0,232
Saka,2,0.0,17
Neto,2,0.0,73
Kudus,2,0.0,525
Onuachu,2,0.0,470
Milenković,2,0.0,573
Aït-Nouri,2,0.0,533
Richarlison,2,0.0,497
Bruno G.,2,0.0,394
Joelinton,2,0.0,403
Thomas,2,1.0,20
Eze,2,0.0,199
Nwaneri,2,0.0,12
Mavididi,2,0.0,298
Schär,2,0.0,415
Muñoz,2,0.0,211
Buonanotte,2,0.0,117
Sessegnon,2,0.0,579
Højlund,2,0.0,375
Cucurella,2,0.0,163
Szmodics,2,1.0,611
Bernardo,2,0.0,342
McAtee,2,0.0,357
A.Doucoure,2,0.0,217
Jones,2,0.0,324
Nkunku,2,0.0,181
J.Ayew,2,0.0,192
Sancho,2,0.0,386
Zirkzee,2,0.0,389
Guéhi,2,0.0,200
Calvert-Lewin,2,0.0,220
Hutchinson,2,0.0,274
Barkley,2,0.0,29
Malen,2,,725
Chalobah,2,0.0,159
P.M.Sarr,2,0.0,499
J.Gomes,2,0.0,553
Jota Silva,2,0.0,596
Aribo,2,0.0,452
Baleba,2,0.0,115
Sarabia,2,0.0,565
Tonali,2,0.0,417
Füllkrug,2,0.0,589
Tavernier,2,1.0,83
De Bruyne,2,1.0,345
McNeil,2,0.0,230
G.Jesus,2,0.0,2
Gabriel,2,0.0,3
Doku,2,0.0,346
Alexander-Arnold,2,0.0,311
M.Asensio,2,,762
Onana,2,0.0,233
Collins,2,0.0,88
Damsgaard,2,0.0,89
Guedes,2,0.0,548
De Ligt,2,0.0,593
Huijsen,2,0.0,580
O’Reilly,2,0.0,607
Hee Chan,2,0.0,550
Enes Ünal,2,0.0,65
Brooks,2,0.0,62
M.Fernandes,2,0.0,623
Tielemans,2,0.0,57
Christie,2,0.0,63
Calafiori,2,0.0,578
El Khannouss,2,,635
Saliba,2,0.0,18
Rice,2,0.0,16
Adama,2,0.0,239
Keane,2,0.0,228
Andreas,2,0.0,240
Justin,2,0.0,295
Hirst,2,0.0,272
Carvalho,2,0.0,314
Anderson,2,0.0,423
Wan-Bissaka,2,0.0,388
Stones,2,0.0,362
Martinez,2,0.0,47
Virgil,2,0.0,339
Archer,2,0.0,27
Emerson,2,0.0,520
Hinshelwood,2,0.0,126
Bissouma,2,1.0,482
Pedro Porro,2,0.0,495
Lamptey,2,0.0,131
Adingra,2,0.0,113
Yates,2,0.0,449
Armstrong,2,0.0,603
Bentancur,2,0.0,480
Aina,2,0.0,422
Pinnock,2,0.0,104
Doherty,2,0.0,543
L.Paquetá,2,0.0,527
Bednarek,2,0.0,455
Jaden,2,0.0,569
R.Gomes,2,0.0,563
O'Brien,2,0.0,582
Bellegarde,2,0.0,535
Dibling,2,0.0,608
Kerkez,2,0.0,70
Esse,2,,730
Cook,2,0.0,64
O'Riley,2,,629
Devenny,2,,645
Ramsey,2,0.0,53
F.Kadıoğlu,2,,628
Munetsi,2,,770
Konsa,2,0.0,44
João Félix,2,1.0,621
Lacroix,2,,650
McGinn,2,0.0,48
Maatsen,2,0.0,45
Ugarte,2,,652
C.Soler,2,,654
George,2,,696
Ayari,2,0.0,600
Osula,2,0.0,590
Summerville,2,0.0,587
Lewis-Skelly,2,0.0,597
Sinisterra,2,0.0,80
Janelt,2,0.0,94
Mario Jr.,2,0.0,557
Sugawara,2,0.0,474
Kamaldeen,2,0.0,462
Smallbone,2,0.0,471
Stephens,2,0.0,472
Alcaraz,2,0.0,450
Caicedo,2,0.0,157
Harwood-Bellis,2,0.0,461
Wieffer,2,0.0,149
Spence,2,0.0,504
Antonio,2,0.0,512
Van Hecke,2,0.0,144
Romero,2,1.0,498
Ings,2,0.0,523
Downes,2,0.0,518
Ferguson,2,0.0,123
Estupiñan,2,0.0,122
Savinho,2,0.0,571
Enciso,2,0.0,121
Lewis-Potter,2,0.0,98
Sosa,2,0.0,620
Cajuste,2,0.0,619
Mangala,2,,651
Murillo,2,0.0,436
Awoniyi,2,0.0,424
James,2,0.0,172
Disasi,2,0.0,167
Colwill,2,0.0,162
N.Williams,2,0.0,437
Tosin,2,0.0,187
Ugochukwu,2,0.0,188
Burn,2,0.0,395
Miley,2,0.0,411
Konaté,2,0.0,326
Harrison,2,0.0,224
M.França,2,0.0,208
Matheus N.,2,0.0,356
Lewis,2,0.0,355
Casemiro,2,0.0,368
Maguire,2,0.0,377
C.Richards,2,0.0,194
Young,2,0.0,656
Grealish,2,0.0,349
Faes,2,1.0,291
De Cordova-Reid,2,0.0,290
Daka,2,0.0,289
Tarkowski,2,0.0,236
Bassey,2,0.0,241
Cairney,2,0.0,243
Broadhead,2,0.0,262
Okoli,2,0.0,301
Nelson,2,0.0,10
Taylor,2,0.0,281
Greaves,2,0.0,270
Davis,2,0.0,267
Johnson,2,0.0,275
Morsy,2,0.0,278
Chaplin,2,0.0,265
Kiwior,2,0.0,8
J.Timber,2,0.0,6
Ødegaard,2,0.0,13
Nketiah,2,0.0,11
Bailey,2,0.0,28
Cash,2,0.0,32
Tel,2,,768
Obi,2,,776
Harrison,2,,224
Cashin,2,,763
Marschall,2,0.0,46
Martinez,2,0.0,47
Dendoncker,2,0.0,33
Diaby,2,0.0,34
Diego Carlos,2,0.0,35
Digne,2,0.0,36
Dobbin,2,0.0,37
Gauci,2,0.0,39
Nedeljkovic,2,0.0,50
Olsen,2,0.0,51
Pau,2,0.0,52
Sinisalo,2,0.0,55
Sousa,2,0.0,56
Iling Jr,2,0.0,41
Kamara,2,0.0,42
Kesler-Hayden,2,0.0,43
Danns,2,,709
Jimoh,2,,710
Okoduwa,2,,711
Akinmboni,2,,712
