web_name,gw,SoT
Adams,2,0
Mitchell,2,0
Schlupp,2,0
Toti,2,0
Irving,2,0
Robinson,2,0
Lukić,2,0
O'Shea,2,
Huijsen,2,0
O’Reilly,2,0
Chiesa,2,
Gruda,2,0
Tosin,2,0
Ward-Prowse,2,0
Kilman,2,0
Doyle,2,0
Cairney,2,0
Reed,2,0
Diop,2,0
Roerslev,2,0
Yarmoliuk,2,0
Van de Ven,2,0
Bednarek,2,0
Aina,2,0
Bergvall,2,0
Stephens,2,0
Almirón,2,0
Phillips,2,0
Miley,2,0
Stones,2,0
Lewis,2,0
Walker,2,0
Tete,2,0
Vestergaard,2,0
Elliott,2,0
Morsy,2,0
Davis,2,0
Mainoo,2,0
Gomez,2,0
Lamptey,2,0
Robertson,2,2
Okoli,2,0
Tsimikas,2,0
Dorgu,2,
Danso,2,
Davies,2,0
Faes,2,1
Ricardo,2,0
Udogie,2,0
Kamara,2,0
F.Kadıoğlu,2,
Disasi,2,0
Eriksen,2,0
André,2,
Scarlett,2,0
Skipp,2,0
Hughes,2,0
Bree,2,0
White,2,0
Longstaff,2,0
Vinicius,2,0
Cajuste,2,0
Akanji,2,0
Edouard,2,1
Chilwell,2,0
Veltman,2,0
Webster,2,0
Boly,2,0
Y. Chermiti,2,0
George,2,
Sangaré,2,1
Mings,2,0
Manning,2,0
Dragusin,2,0
Bogarde,2,0
Butler-Oyedeji,2,
Jensen,2,0
Gray,2,0
Livramento,2,0
Diego Carlos,2,0
Agbadou,2,
Smallbone,2,0
Lewis-Skelly,2,0
Philip,2,0
G.Rodríguez,2,0
Esse,2,
Yoro,2,0
Jebbison,2,0
Coleman,2,0
Pedro Lima,2,0
Brereton Díaz,2,0
Álvarez,2,0
H.Clarke,2,0
Obi,2,
Ugochukwu,2,0
Mheuka,2,
Dawson,2,0
L.Guilherme,2,0
Kiwior,2,0
Burgess,2,0
Burns,2,0
Coady,2,0
Renato Veiga,2,0
Hall,2,0
Fraser,2,0
Osula,2,0
Morato,2,
Coulibaly,2,
Coufal,2,0
Mudryk,2,0
Alves,2,0
Dixon,2,0
Ream,2,0
Ogbene,2,
Kaboré,2,0
Stansfield,2,0
Benda,2,0
J.Araujo,2,0
Harris,2,0
Godo,2,0
Leno,2,0
King,2,0
Berge,2,0
Todibo,2,0
Lankshear,2,0
Swinkels,2,
Jørgensen,2,0
Moore,2,0
Meupiyou,2,
Collyer,2,0
Metcalfe,2,0
Rushworth,2,0
G.Nunes,2,
Setford,2,
Nelson,2,0
Mbabu,2,0
Townsend,2,0
Oulad M'hand,2,
Begovic,2,0
Dewsbury-Hall,2,0
Deivid,2,0
D.D.Fofana,2,0
Chukwuemeka,2,0
B.Traore,2,0
Zouma,2,0
N.Aguerd,2,0
Humphreys,2,0
Choudhury,2,0
Cannon,2,0
B.Soumaré,2,0
Cresswell,2,0
Sterling,2,0
Areola,2,0
Foderingham,2,0
Fabianski,2,0
Bentley,2,0
Clyne,2,0
Chadi Riad,2,0
Podence,2,0
Wiley,2,0
Pivas,2,0
Earthy,2,0
Paulsen,2,0
Brierley,2,0
Cornet,2,0
Ebiowei,2,0
Mykolenko,2,0
Maupay,2,0
J.Virginia,2,0
Iroegbunam,2,0
Holgate,2,0
Pickford,2,0
Patterson,2,0
Fábio Silva,2,0
Mosquera,2,0
King,2,0
Kalajdžić,2,0
Tuanzebe,2,0
Muric,2,0
Sánchez,2,0
Armstrong,2,0
Trevitt,2,0
Moran,2,0
Hoever,2,0
Hodge,2,0
H.Bueno,2,0
Gonzalez,2,0
Fraser,2,0
Woolfenden,2,0
Walton,2,0
José Sá,2,0
Frank,2,
Jorginho,2,0
Hein,2,0
Fábio Vieira,2,0
Raya,2,0
Ramsdale,2,0
Johnstone,2,0
Holding,2,0
Henderson,2,0
Ward,2,0
Rak-Sakyi,2,0
Ozoh,2,0
Matthews,2,0
Neto,2,0
Sousa,2,0
Sinisalo,2,0
Olsen,2,0
Nedeljkovic,2,0
C.Doucouré,2,0
Dobbin,2,0
Diaby,2,0
Dendoncker,2,0
Martinez,2,0
Marschall,2,0
Kesler-Hayden,2,0
O'Brien-Whitmarsh,2,
Nallo,2,
Kukonki,2,
Iling Jr,2,0
Cashin,2,
Vitor Reis,2,
Khusanov,2,
A. Garcia,2,
Ajayi,2,
Hause,2,0
Monga,2,
Charlie Tasker,2,
Gower,2,
Neave,2,
Dermot Mee,2,
Adu-Adjei,2,
Hennessey,2,
Djiga,2,
Mané,2,
Graczyk,2,
Samuels-Smith,2,
Morgan,2,
Koné,2,
Moorhouse,2,
Fredricson,2,
Gauci,2,0
Coby Ebere,2,
Anselmino,2,
Heath,2,
Willian,2,
Amougou,2,
Harrison,2,
Guardiola,2,
Davies,2,
Cahill,2,
Fletcher,2,
Kporha,2,
Pond,2,
Samuels,2,
Nichols,2,
Yogane,2,
Jaros,2,
Kabia,2,
Heaven,2,
Kacurri,2,
Umeh-Chibueze,2,
Amissah,2,
Zych,2,
Young,2,
Forbs,2,
Meghoma,2,
Orford,2,
King,2,
Dorrington,2,
Mubama,2,
Acheampong,2,
Wheatley,2,
Rodney,2,
Agbinone,2,
J.Cuenca,2,0
Dennis,2,0
Casey,2,
Williams-Barnett,2,
Brits,2,
Alleyne,2,
Harris,2,
Slater,2,
Hardy,2,
Olusesi,2,
Edozie,2,
McConville,2,
Rak-Sakyi,2,
Cartwright,2,
Scarles,2,
Marsh,2,
Wilson-Esbrand,2,
Amass,2,
Fitzgerald,2,
Nyoni,2,
Winterburn,2,
Mayers,2,
Tomiyasu,2,0
Tierney,2,0
Buendia,2,0
Anthony,2,0
Aarons,2,0
Kinsey,2,
Broggio,2,
Bates,2,
Simpson-Pusey,2,
Wright,2,
Maghoma,2,
Sarmiento,2,0
Peupion,2,0
Offiah,2,0
O’Mahony,2,0
Moder,2,0
Arrizabalaga,2,0
Ângelo,2,0
Andrey Santos,2,0
McTominay,2,0
Malacia,2,0
Milner,2,0
Mazilu,2,0
March,2,0
Grønbæk,2,
Undav,2,0
Steele,2,0
Akinmboni,2,
Okoduwa,2,
Jimoh,2,
Danns,2,
Wilson-Brown,2,
Rees-Dottin,2,
Abbott,2,
Arthur,2,
Tom Taylor,2,
Boniface,2,
Jay Robinson,2,
Kozlowski,2,0
Harness,2,0
Evans,2,0
Marcal,2,0
Bajcetic,2,0
A.Becker,2,0
Ward,2,0
Thomas,2,0
Endo,2,0
Rodrigo,2,0
Ortega Moreno,2,0
João Cancelo,2,0
Bayindir,2,0
Lindelof,2,0
Bergström,2,0
Hannibal,2,0
B.Badiashile,2,0
Kelleher,2,0
R.Williams,2,0
Quansah,2,0
N.Phillips,2,0
Morton,2,0
McConnell,2,0
Carson,2,0
Verbruggen,2,0
Casadei,2,0
Broja,2,0
Bettinelli,2,0
Heaton,2,0
Maresca,2,
Hürzeler,2,
Iraola,2,
Emery,2,
Silcott-Duberry,2,
McKenna,2,
Sherif,2,
Sadi,2,
Barrenechea,2,0
Alex Moreno,2,0
Zinchenko,2,0
Kayi Sanda,2,
Welington,2,
Jake Evans,2,
Kinsky,2,
Godfrey,2,
Gómez,2,
Soler,2,
Cassanova,2,
Eyestone,2,
Knight,2,
Kayode,2,
Porter,2,
Van Nistelrooy,2,
Silva,2,
N.Gonzalez,2,
Palmer,2,
Yang,2,
Olabade Aluko,2,
Harry Howell,2,
Freddie Simmonds,2,
Jack Henry-Francis,2,
Golding,2,0
Stolarczyk,2,0
Souttar,2,0
Genesis Antwi,2,
Benjamin Fredrick,2,
Echeverri,2,
Bobb,2,0
Aké,2,0
J.Alvarez,2,0
Glasner,2,
Kristiansen,2,0
Iversen,2,0
Hermansen,2,0
Arteta,2,
Pereira,2,
Potter,2,
Postecoglou,2,
Rusk,2,
Nuno,2,
Howe,2,
Amorim,2,
Slot,2,
McKenna,2,
Moyes,2,
Ederson M.,2,0
Charles,2,0
Whiteman,2,0
Vicario,2,0
Veliz,2,0
