id,first_name,second_name,web_name,team,full_name
331,tyler,morton,morton,12,tyler morton
332,nathaniel,phillips,nphillips,12,nathaniel phillips
333,jarell,quansah,quansah,12,jarell quansah
334,rhys,williams,rwilliams,12,rhys williams
335,andrew,robertson,robertson,12,andrew robertson
336,dominik,szoboszlai,szoboszlai,12,dominik szoboszlai
337,konstantinos,tsimikas,tsimikas,12,konstantinos tsimikas
339,virgil,van dijk,virgil,12,virgil van dijk
636,federico,chiesa,chiesa,12,federico chiesa
660,vitezslav,jaros,jaros,12,vitezslav jaros
669,harvey,davies,davies,12,harvey davies
688,treymaurice,nyoni,nyoni,12,treymaurice nyoni
692,amara,nallo,nallo,12,amara nallo
709,jayden,danns,danns,12,jayden danns
744,arne,slot,slot,12,arne slot
340,manuel,akanji,akanji,13,manuel akanji
341,nathan,ake,ake,13,nathan ake
342,bernardo,veiga de carvalho e silva,bernardo,13,bernardo veiga de carvalho e silva
343,oscar,bobb,bobb,13,oscar bobb
344,scott,carson,carson,13,scott carson
345,kevin,de bruyne,de bruyne,13,kevin de bruyne
346,jeremy,doku,doku,13,jeremy doku
347,ederson,santana de moraes,ederson m,13,ederson santana de moraes
348,phil,foden,foden,13,phil foden
349,jack,grealish,grealish,13,jack grealish
350,josko,gvardiol,gvardiol,13,josko gvardiol
351,erling,haaland,haaland,13,erling haaland
352,julian,alvarez,jalvarez,13,julian alvarez
353,joao,cavaco cancelo,joao cancelo,13,joao cavaco cancelo
354,mateo,kovacic,kovacic,13,mateo kovacic
355,rico,lewis,lewis,13,rico lewis
356,matheus luiz,nunes,matheus n,13,matheus luiz nunes
357,james,mcatee,mcatee,13,james mcatee
358,stefan,ortega moreno,ortega moreno,13,stefan ortega moreno
360,rodrigo rodri,hernandez,rodrigo,13,rodrigo rodri hernandez
361,ruben,gato alves dias,ruben,13,ruben gato alves dias
362,john,stones,stones,13,john stones
363,kyle,walker,walker,13,kyle walker
571,savio savinho,moreira de oliveira,savinho,13,savio savinho moreira de oliveira
607,nico,oreilly,oreilly,13,nico oreilly
625,ilkay,gundogan,gundogan,13,ilkay gundogan
626,issa,kabore,kabore,13,issa kabore
671,jacob,wright,wright,13,jacob wright
672,jahmai,simpson-pusey,simpson-pusey,13,jahmai simpson-pusey
675,josh,wilson-esbrand,wilson-esbrand,13,josh wilson-esbrand
698,divin,mubama,mubama,13,divin mubama
703,max,alleyne,alleyne,13,max alleyne
704,spike,brits,brits,13,spike brits
732,abdukodir,khusanov,khusanov,13,abdukodir khusanov
733,vitor,de oliveira nunes dos reis,vitor reis,13,vitor de oliveira nunes dos reis
736,pep,guardiola,guardiola,13,pep guardiola
755,omar,marmoush,marmoush,13,omar marmoush
765,nico,gonzalez,ngonzalez,13,nico gonzalez
785,claudio,echeverri,echeverri,13,claudio echeverri
364,amad,diallo,amad,14,amad diallo
365,antony matheus,dos santos,antony,14,antony matheus dos santos
366,bruno,borges fernandes,bfernandes,14,bruno borges fernandes
367,altay,bayindir,bayindir,14,altay bayindir
368,carlos henrique,casimiro,casemiro,14,carlos henrique casimiro
369,diogo,dalot teixeira,dalot,14,diogo dalot teixeira
370,christian,eriksen,eriksen,14,christian eriksen
371,jonny,evans,evans,14,jonny evans
372,alejandro,garnacho,garnacho,14,alejandro garnacho
373,hannibal,mejbri,hannibal,14,hannibal mejbri
374,tom,heaton,heaton,14,tom heaton
375,rasmus,hojlund,hojlund,14,rasmus hojlund
376,victor,lindelof,lindelof,14,victor lindelof
377,harry,maguire,maguire,14,harry maguire
378,kobbie,mainoo,mainoo,14,kobbie mainoo
379,tyrell,malacia,malacia,14,tyrell malacia
380,lisandro,martinez,martinez,14,lisandro martinez
381,scott,mctominay,mctominay,14,scott mctominay
382,mason,mount,mount,14,mason mount
383,andre,onana,onana,14,andre onana
384,facundo,pellistri rebollo,pellistri,14,facundo pellistri rebollo
387,luke,shaw,shaw,14,luke shaw
389,joshua,zirkzee,zirkzee,14,joshua zirkzee
572,leny,yoro,yoro,14,leny yoro
593,matthijs,de ligt,de ligt,14,matthijs de ligt
594,noussair,mazraoui,mazraoui,14,noussair mazraoui
613,toby,collyer,collyer,14,toby collyer
648,ethan,wheatley,wheatley,14,ethan wheatley
652,manuel,ugarte,ugarte,14,manuel ugarte
658,ayden,heaven,heaven,14,ayden heaven
667,jack,fletcher,fletcher,14,jack fletcher
670,harry,amass,amass,14,harry amass
673,jayce,fitzgerald,fitzgerald,14,jayce fitzgerald
691,godwill,kukonki,kukonki,14,godwill kukonki
745,ruben filipe,marques diogo amorim,amorim,14,ruben filipe marques diogo amorim
761,elyh,harrison,harrison,14,elyh harrison
766,patrick,dorgu,dorgu,14,patrick dorgu
776,chido,obi-martin,obi,14,chido obi-martin
