web_name,gw,npxgi,player_id
Omobamidele,1,0.0,440
N.Phillips,1,0.0,332
Morton,1,0.0,331
McConnell,1,0.0,330
Larios,1,0.0,464
Edwards,1,0.0,460
Lo Celso,1,0.0,493
Baggott,1,0.0,261
Sousa,1,0.0,56
Endo,1,0.0,320
Doak,1,0.0,318
Clark,1,0.0,315
Bajcetic,1,0.0,312
Ward,1,0.0,215
Walton,1,0.0,283
Slicker,1,0.0,280
Bryan,1,0.0,483
Luongo,1,0.0,277
Ladapo,1,0.0,276
Humphreys,1,0.0,273
Harness,1,0.0,271
Edmundson,1,0.0,269
Højbjerg,1,0.0,490
Aarons,1,0.0,59
Forster,1,0.0,488
E.Royal,1,0.0,487
Devine,1,0.0,485
Ndaba,1,0.0,279
Bayindir,1,0.0,367
Rodrigo,1,0.0,360
Ortega Moreno,1,0.0,358
João Cancelo,1,0.0,353
Targett,1,0.0,416
Ruddy,1,0.0,414
Pope,1,0.0,413
Bowler,1,0.0,426
Panzo,1,0.0,441
C.Miguel,1,0.0,427
Da Silva Moreira,1,0.0,428
Lindelof,1,0.0,376
Heaton,1,0.0,374
Hannibal,1,0.0,373
O.Richards,1,0.0,438
Mighten,1,0.0,435
Dennis,1,0.0,599
Danilo,1,0.0,429
Pellistri,1,0.0,384
Charles,1,0.0,458
Sels,1,0.0,443
Bazunu,1,0.0,454
Toffolo,1,0.0,444
J.Alvarez,1,0.0,352
Austin,1,0.0,479
A.Phillips,1,0.0,478
Turner,1,0.0,445
Ui-jo,1,0.0,446
McCarthy,1,0.0,469
Kelleher,1,0.0,325
Lumley,1,0.0,466
Lis,1,0.0,465
Worrall,1,0.0,448
Stolarczyk,1,0.0,304
Souttar,1,0.0,303
Ricardo,1,0.0,302
Marcal,1,0.0,297
Iversen,1,0.0,294
Hermansen,1,0.0,293
Golding,1,0.0,292
Mara,1,0.0,468
Gallagher,1,0.0,169
Deivid,1,0.0,165
D.D.Fofana,1,0.0,164
Chukwuemeka,1,0.0,161
Van Nistelrooy,1,,754
Ahamada,1,0.0,190
Sánchez,1,0.0,185
Sinisalo,1,0.0,55
Petrović,1,0.0,183
Marc Guiu,1,0.0,178
M.Sarr,1,0.0,176
Lukaku,1,0.0,175
Kellyman,1,0.0,173
Kalajdžić,1,0.0,555
Maresca,1,,740
Hoever,1,0.0,552
Hodge,1,0.0,551
H.Bueno,1,0.0,549
Hürzeler,1,,739
B.Badiashile,1,0.0,153
Clarke,1,,801
Ângelo,1,0.0,151
Andrey Santos,1,0.0,150
Nuno,1,,747
Rusk,1,,748
J.Araujo,1,0.0,592
Postecoglou,1,,749
Potter,1,,750
Gilchrist,1,0.0,170
J.Cuenca,1,0.0,586
Jørgensen,1,0.0,581
Peart-Harris,1,0.0,103
Onyeka,1,0.0,102
Mee,1,0.0,100
Frank,1,,752
Alves,1,0.0,606
Silva,1,,753
Trevitt,1,0.0,602
Moran,1,0.0,601
Pereira,1,,751
Amorim,1,,745
Areola,1,0.0,513
Stansfield,1,0.0,256
Ream,1,0.0,253
Chadi Riad,1,0.0,195
Cundle,1,0.0,540
Chiwome,1,0.0,539
Chirewa,1,0.0,538
