web_name,gw,cc,player_id
Iversen,1,0,294
Højbjerg,1,0,490
Forster,1,0,488
E.Royal,1,0,487
Devine,1,0,485
Bryan,1,0,483
Doak,1,0,318
Clark,1,0,315
Ream,1,0,253
Vinicius,1,0,258
Whiteman,1,0,510
Vicario,1,0,508
Veliz,1,0,507
Solomon,1,0,502
Lo Celso,1,0,493
Ndaba,1,0,279
Luongo,1,0,277
Ladapo,1,0,276
Humphreys,1,0,273
Harness,1,0,271
Bajcetic,1,0,312
Mbabu,1,0,250
Benda,1,0,242
Y. Chermiti,1,0,237
Maupay,1,0,229
B.Traore,1,0,534
Zouma,1,0,532
N.Aguerd,1,0,529
Foderingham,1,0,522
Fabianski,1,0,521
Ricardo,1,0,302
Cornet,1,0,515
Areola,1,0,513
Ebiowei,1,0,197
Chadi Riad,1,0,195
Cundle,1,0,540
Chiwome,1,0,539
Chirewa,1,0,538
Bentley,1,0,536
Stolarczyk,1,0,304
Souttar,1,0,303
B.Fernandes,2,3,366
M.Salah,2,0,328
Palmer,2,4,182
Enzo,2,2,168
Mbeumo,2,1,99
Kulusevski,2,4,492
Damsgaard,2,0,89
Ødegaard,2,2,13
Tielemans,2,2,57
Andreas,2,7,240
Rice,2,1,16
Iwobi,2,1,247
Luis Díaz,2,4,327
Pedro Porro,2,1,495
Eze,2,4,199
Davis,2,0,267
Szoboszlai,2,2,336
Son,2,1,503
De Bruyne,2,4,345
Cunha,2,2,541
Saka,2,2,17
Gordon,2,4,398
Alexander-Arnold,2,4,311
Gibbs-White,2,3,433
Bowen,2,5,514
Rogers,2,2,54
Bruno G.,2,2,394
Cook,2,1,64
Bernardo,2,0,342
Semenyo,2,3,78
Hudson-Odoi,2,4,434
Elanga,2,3,432
Mac Allister,2,2,329
Kluivert,2,2,71
Foden,2,0,348
Neto,2,1,73
Robinson,2,2,255
Savinho,2,2,571
Maddison,2,2,494
Christie,2,3,63
Isak,2,1,401
Amad,2,1,364
Muñoz,2,0,211
I.Sarr,2,1,585
Adama,2,4,239
Trossard,2,0,23
Mitchell,2,2,210
Robertson,2,3,335
Sancho,2,0,386
J.Murphy,2,1,402
Martinelli,2,2,9
L.Paquetá,2,0,527
Gündogan,2,0,625
El Khannouss,2,,635
Tavernier,2,4,83
Garnacho,2,1,372
Mitoma,2,1,136
Digne,2,0,36
Aït-Nouri,2,1,533
O.Dango,2,0,74
Anderson,2,1,423
Manning,2,0,467
Hall,2,1,399
McNeil,2,6,230
Gakpo,2,0,321
Kerkez,2,0,70
Harrison,2,0,224
Madueke,2,1,177
M.Fernandes,2,0,623
João Pedro,2,1,129
Kudus,2,0,525
Wan-Bissaka,2,0,388
Kovačić,2,2,354
Hughes,2,0,203
Doku,2,2,346
Caicedo,2,0,157
McGinn,2,0,48
N.Jackson,2,2,180
Rashford,2,0,385
Mateta,2,2,207
Ayari,2,0,600
Wharton,2,2,216
Haaland,2,0,351
Dalot,2,1,369
Gvardiol,2,0,350
Hutchinson,2,0,274
A.Doucoure,2,0,217
Gravenberch,2,0,323
Estupiñan,2,0,122
Bellegarde,2,0,535
Eriksen,2,0,370
Lukić,2,1,249
Buonanotte,2,3,117
Grealish,2,0,349
Wissa,2,0,110
Watkins,2,2,58
Minteh,2,2,135
Lewis-Potter,2,1,98
Walker-Peters,2,0,476
Joelinton,2,1,403
J.Clarke,2,,631
Evanilson,2,0,617
Mavididi,2,0,298
Barnes,2,2,392
Livramento,2,0,409
Raúl,2,0,252
Willock,2,0,420
Matheus N.,2,0,356
J.Gomes,2,0,553
N.Semedo,2,0,559
Gusto,2,1,171
Tonali,2,0,417
Casemiro,2,0,368
Ramsey,2,1,53
Mykolenko,2,0,231
Dibling,2,0,608
Baleba,2,0,115
Delap,2,0,268
Schade,2,0,106
Georginio,2,0,618
Young,2,0,656
Jones,2,0,324
Lindstrøm,2,0,577
Gana,2,0,222
Cucurella,2,0,163
Kamada,2,2,205
Wood,2,1,447
Welbeck,2,2,148
Johnson,2,0,275
Morsy,2,0,278
Smith Rowe,2,0,19
Kristiansen,2,0,296
Vardy,2,0,306
Trippier,2,0,418
Mazraoui,2,2,594
Maatsen,2,1,45
Wilson,2,0,259
Ward-Prowse,2,0,531
Nørgaard,2,0,101
Thomas,2,0,20
J.Timber,2,0,6
Ndiaye,2,0,232
O'Riley,2,,629
Yates,2,1,449
Winks,2,1,309
Berge,2,0,622
Strand Larsen,2,1,566
Sugawara,2,0,474
Summerville,2,0,587
N.Williams,2,0,437
Havertz,2,0,4
Aribo,2,0,452
Udogie,2,0,505
P.M.Sarr,2,0,499
Tsimikas,2,0,337
Kilman,2,2,524
Emerson,2,0,520
Tarkowski,2,1,236
Bailey,2,1,28
Adams,2,0,60
Brooks,2,0,62
André,2,,642
Guéhi,2,0,200
J.Ayew,2,1,192
Downes,2,1,518
Enciso,2,0,121
Jensen,2,2,95
Ndidi,2,1,300
Aina,2,1,422
Merino,2,,633
Gruda,2,0,595
Ugochukwu,2,0,188
Souček,2,1,530
Jota Silva,2,0,596
Huijsen,2,0,580
Harwood-Bellis,2,0,461
Van Hecke,2,0,144
Janelt,2,0,94
Solanke,2,0,82
Mainoo,2,0,378
Hinshelwood,2,1,126
Nkunku,2,1,181
Roerslev,2,0,105
Højlund,2,0,375
Füllkrug,2,0,589
C.Soler,2,,654
Adingra,2,1,113
Justin,2,0,295
Dominguez,2,1,431
Sarabia,2,0,565
Nelson,2,0,10
Marmoush,2,,755
M.Asensio,2,,762
Gabriel,2,0,3
Murillo,2,1,436
Alcaraz,2,0,450
Virgil,2,0,339
Nketiah,2,0,11
R.Gomes,2,0,563
Colwill,2,0,162
Nwaneri,2,0,12
Wieffer,2,0,149
Zirkzee,2,1,389
Garner,2,0,223
Bergvall,2,0,481
Diogo J.,2,2,317
Doherty,2,1,543
Guedes,2,0,548
Álvarez,2,0,511
Spence,2,0,504
Cajuste,2,0,619
Zabarnyi,2,0,85
Scott,2,0,77
James,2,0,172
Castagne,2,0,244
B.Soumaré,2,0,285
Mario Jr.,2,0,557
Burns,2,0,264
Werner,2,0,509
Cash,2,0,32
Ugarte,2,,652
Konaté,2,0,326
Tel,2,,768
Sessegnon,2,0,579
Kamaldeen,2,0,462
Kamara,2,0,42
Skipp,2,0,501
Lerma,2,0,206
Barkley,2,0,29
Ajer,2,1,86
Collins,2,0,88
Akanji,2,1,340
Armstrong,2,0,603
Smallbone,2,0,471
Yarmoliuk,2,0,111
Martinez,2,0,47
Sinisterra,2,1,80
Bentancur,2,0,480
Toti,2,1,567
Cairney,2,0,243
Antonio,2,0,512
Darwin,2,0,316
Bree,2,0,457
G.Jesus,2,0,2
Philip,2,0,76
Burn,2,0,395
Beto,2,0,218
Mangala,2,,651
Sterling,2,0,186
Milenković,2,1,573
Onana,2,0,233
Chaplin,2,0,265
Pinnock,2,0,104
Onuachu,2,0,470
McAteer,2,0,299
Sosa,2,0,620
Alex Moreno,2,0,26
Chalobah,2,0,159
Lewis-Skelly,2,0,597
Smith,2,0,81
Dorgu,2,,766
Tierney,2,0,21
White,2,0,24
Walker,2,0,363
Doyle,2,1,544
Burgess,2,0,263
Tete,2,0,257
Romero,2,1,498
Cresswell,2,0,517
Munetsi,2,,770
Muniz,2,2,251
Lavia,2,0,174
Calvert-Lewin,2,0,220
Saliba,2,0,18
Lewis,2,0,355
Lacroix,2,,650
W.Fofana,2,0,189
Devenny,2,,645
Veltman,2,2,145
Bissouma,2,0,482
Elliott,2,0,319
Maguire,2,1,377
João Félix,2,0,621
Van den Berg,2,0,338
De Ligt,2,0,593
De Cordova-Reid,2,0,290
O'Brien,2,0,582
Calafiori,2,0,578
Ings,2,0,523
Coufal,2,0,516
Jaden,2,0,569
A.Fatawu,2,0,570
Broadhead,2,0,262
Bradley,2,0,313
Odobert,2,1,612
Dunk,2,1,120
Mount,2,0,382
Rúben,2,0,361
Lamptey,2,0,131
Gómez,2,,714
Mavropanos,2,0,528
Disasi,2,0,167
Taylor,2,0,281
Ferguson,2,0,123
Bednarek,2,1,455
F.Kadıoğlu,2,,628
Senesi,2,0,79
Phillips,2,0,359
Konsa,2,0,44
Schär,2,0,415
Willian,2,,772
George,2,,696
Shaw,2,0,387
Enes Ünal,2,0,65
Sangaré,2,0,442
Dragusin,2,0,486
Faes,2,0,291
Broja,2,0,156
Agbadou,2,,720
Duran,2,0,38
Hirst,2,0,272
Richarlison,2,0,497
Longstaff,2,1,410
Archer,2,0,27
Patterson,2,0,234
Tuanzebe,2,0,282
Kayode,2,,757
Lallana,2,0,463
Townsend,2,0,583
O’Reilly,2,0,607
Ederson M.,2,0,347
Szmodics,2,0,611
Milner,2,1,134
Carvalho,2,0,314
Mings,2,0,49
Hee Chan,2,0,550
Almirón,2,0,391
Branthwaite,2,0,219
Clyne,2,0,196
A. Garcia,2,,731
Bassey,2,0,241
L.Guilherme,2,0,526
Andersen,2,0,191
Dewsbury-Hall,2,0,166
Jebbison,2,0,69
Jorginho,2,0,7
Hill,2,0,68
Kiwior,2,0,8
Vestergaard,2,0,307
March,2,0,132
Webster,2,0,147
Moder,2,0,137
Moore,2,0,610
Stephens,2,0,472
Brereton Díaz,2,2,584
King,2,0,604
Lindelof,2,0,376
Antony,2,1,365
O'Shea,2,,630
G.Rodríguez,2,0,588
Greaves,2,0,270
Iroegbunam,2,0,226
Diop,2,0,245
Welington,2,,718
Jay Robinson,2,,798
Zinchenko,2,0,25
Kelly,2,0,404
Schlupp,2,0,214
Khusanov,2,,732
Pau,2,0,52
Fraser,2,0,397
Todibo,2,0,591
Gray,2,0,489
Al-Hamadi,2,0,260
Van de Ven,2,1,506
Pickford,2,0,235
Leno,2,0,248
Choudhury,2,0,287
José Sá,2,1,554
Yoro,2,0,572
Mosquera,2,0,558
Pedro Lima,2,0,561
Mudryk,2,0,179
C.Richards,2,0,194
Henderson,2,0,201
Edouard,2,0,198
Dawson,2,0,542
Flekken,2,0,91
Scarles,2,,677
Malen,2,,725
Collyer,2,0,613
Chilwell,2,0,160
Tosin,2,0,187
Davies,2,0,669
Endo,2,0,320
Bogarde,2,0,598
Thiago,2,0,107
Ogbene,2,,632
McAtee,2,0,357
Stones,2,0,362
Awoniyi,2,0,424
Danso,2,,767
Reguilón,2,0,496
Agbinone,2,,646
Orford,2,,701
H.Clarke,2,0,266
Quansah,2,0,333
Amo-Ameyaw,2,0,451
Bobb,2,0,343
Aké,2,0,341
Rodrigo,2,0,360
Daka,2,0,289
Pope,2,0,413
Miley,2,0,411
Krafth,2,1,405
Sels,2,0,443
Malacia,2,0,379
Edozie,2,0,459
Osula,2,0,590
Verbruggen,2,0,146
Arrizabalaga,2,0,152
Johnstone,2,0,204
Sánchez,2,0,185
Irving,2,0,576
Marc Guiu,2,0,178
Keane,2,1,228
Scarlett,2,0,500
Igor,2,0,128
Walton,2,0,283
Reed,2,0,254
Amass,2,,670
C.Doucouré,2,0,193
Maghoma,2,,674
Chiquinho,2,0,537
